alpha,n_cal,qhat_BLL,qhat_FSRQ
0.01,1604,0.83616191148757935,0.98087145015597355
0.029600000000000001,1604,0.70029890537261963,0.84700605273246765
0.049200000000000001,1604,0.59775251150131226,0.78743579983711254
0.0688,1604,0.53348702192306519,0.72023653984069824
0.088399999999999992,1604,0.46633532643318176,0.66770914196968079
0.10000000000000001,1604,0.43897616863250732,0.57942107319831848
0.108,1604,0.41604775190353394,0.54021924734115601
0.12759999999999999,1604,0.38090223073959351,0.47921407222747803
0.1472,1604,0.33647996187210083,0.4258846640586853
0.1668,1604,0.30358296632766724,0.39003467559814453
0.18640000000000001,1604,0.26751121878623962,0.37378233671188354
0.20600000000000002,1604,0.23189133405685425,0.34331458806991577
0.22559999999999999,1604,0.2181984931230545,0.31575924158096313
0.2452,1604,0.2000594437122345,0.29419559240341187
0.26479999999999998,1604,0.18023690581321716,0.26979565620422363
0.28439999999999999,1604,0.16813391447067261,0.25569760799407959
0.30399999999999999,1604,0.15761066973209381,0.24226206541061401
0.3236,1604,0.14792567491531372,0.22875261306762695
0.34320000000000001,1604,0.13606227934360504,0.21866077184677124
0.36280000000000001,1604,0.12843957543373108,0.21126043796539307
0.38240000000000002,1604,0.11330415308475494,0.20226186513900757
0.40200000000000002,1604,0.10542229562997818,0.19385004043579102
0.42159999999999997,1604,0.092437051236629597,0.18445008993148804
0.44119999999999998,1604,0.083001405000686646,0.1776508092880249
0.46079999999999999,1604,0.074978560209274403,0.17186498641967773
0.48039999999999999,1604,0.067739397287368774,0.16701209545135498
0.5,1604,0.061336103826761246,0.15796136856079102
0.51959999999999995,1604,0.055169887840747833,0.15475964546203613
0.53920000000000001,1604,0.048307258635759354,0.14747023582458496
0.55879999999999996,1604,0.043613314628601185,0.14071565866470337
0.57840000000000003,1604,0.039139226078987233,0.13652968406677246
0.59799999999999998,1604,0.03440525010228157,0.1316719651222229
0.61760000000000004,1604,0.032060168683528789,0.12386071681976318
0.63719999999999999,1604,0.028519896790385246,0.12091583013534546
0.65679999999999994,1604,0.026331979781389236,0.11668550968170166
0.6764,1604,0.023463357239961624,0.11449819803237915
0.69599999999999995,1604,0.021499272435903549,0.10828471183776855
0.71560000000000001,1604,0.018855461850762367,0.10216319561004639
0.73519999999999996,1604,0.017099007964134216,0.099171459674835205
0.75480000000000003,1604,0.014586320146918408,0.094065248966217041
0.77439999999999998,1604,0.012357505038380623,0.086899399757385254
0.79400000000000004,1604,0.010435843840241432,0.082865655422210804
0.81359999999999999,1604,0.0096169207245111465,0.0752219557762146
0.83319999999999994,1604,0.0083660967648028217,0.070963144302368164
0.8528,1604,0.0071637416258454323,0.063360631465911976
0.87239999999999995,1604,0.0059947213158012547,0.060310423374176025
0.89200000000000002,1604,0.0048352940939367928,0.054580390453338623
0.91159999999999997,1604,0.003663837444037199,0.049463093280792236
0.93120000000000003,1604,0.002700703451410047,0.040753722190856823
0.95079999999999998,1604,0.0016383811598643661,0.035356402397155762
0.97039999999999993,1604,0.00084689969662576914,0.027009189128875621
0.98999999999999999,1604,0.00022523113875638767,0.01633608341217041
