epoch,train_loss,valid_loss
1,1.2232590913772583,1.201539158821106
2,1.1865119934082031,1.1749502420425415
3,1.1744792461395264,1.148792028427124
4,1.1538556814193726,1.12309730052948
5,1.1188639402389526,1.0978868007659912
6,1.1009678840637207,1.0731106996536255
7,1.0716949701309204,1.048746109008789
8,1.047791600227356,1.0248043537139893
9,1.0215773582458496,1.0012643337249756
10,0.9972172379493713,0.9781543612480164
11,0.9646560549736023,0.9554268717765808
12,0.9485223889350891,0.9330893158912659
13,0.926350474357605,0.9111306071281433
14,0.8962869644165039,0.8895624876022339
15,0.8815276622772217,0.8683735728263855
16,0.8645479679107666,0.8475679159164429
17,0.8410496115684509,0.8271220922470093
18,0.827980637550354,0.8070148825645447
19,0.799667477607727,0.7872516512870789
20,0.7885463833808899,0.7678320407867432
21,0.7614113688468933,0.7487728595733643
22,0.7536999583244324,0.7300592660903931
23,0.7384948134422302,0.7117027044296265
24,0.721607506275177,0.6936740279197693
25,0.6898378729820251,0.676010012626648
26,0.6751381754875183,0.6586831212043762
27,0.6606838703155518,0.6416832804679871
28,0.6521522402763367,0.6250304579734802
29,0.6307210922241211,0.6087195873260498
30,0.615039587020874,0.5927702784538269
31,0.6100571155548096,0.5771608352661133
32,0.5889548659324646,0.561871349811554
33,0.5818254947662354,0.5469172596931458
34,0.5763580203056335,0.5322915315628052
35,0.5604970455169678,0.5180121064186096
36,0.5402122735977173,0.5040674209594727
37,0.5256900787353516,0.4904429018497467
38,0.508712649345398,0.47715210914611816
39,0.5066123604774475,0.4641827344894409
40,0.49316900968551636,0.4515472948551178
41,0.4808505177497864,0.43925052881240845
42,0.4798143804073334,0.427267849445343
43,0.4643424153327942,0.41560807824134827
44,0.4567639231681824,0.4042755663394928
45,0.44358789920806885,0.39325037598609924
46,0.43794694542884827,0.3825472593307495
47,0.42077815532684326,0.3721586763858795
48,0.4169313907623291,0.362078458070755
49,0.41064247488975525,0.35230398178100586
50,0.4029640853404999,0.34282368421554565
51,0.39230769872665405,0.3336355686187744
52,0.38839778304100037,0.3247296214103699
53,0.38568857312202454,0.3161057233810425
54,0.3778994679450989,0.30774345993995667
55,0.371874064207077,0.2996459901332855
56,0.3559224307537079,0.2918053865432739
57,0.36186185479164124,0.2842095196247101
58,0.3533090353012085,0.2768706679344177
59,0.34854963421821594,0.26977306604385376
60,0.34912043809890747,0.2628989517688751
61,0.344722181558609,0.25623056292533875
62,0.33751925826072693,0.24976880848407745
63,0.32911941409111023,0.2435203492641449
64,0.32731810212135315,0.23746909201145172
65,0.3270082473754883,0.23162022233009338
66,0.3107583820819855,0.22593656182289124
67,0.3075161278247833,0.22040587663650513
68,0.3086891174316406,0.21504902839660645
69,0.30369919538497925,0.20985402166843414
70,0.2900696098804474,0.20482748746871948
71,0.2966085374355316,0.19994384050369263
72,0.29540103673934937,0.19521792232990265
73,0.28418511152267456,0.19063934683799744
74,0.2914566397666931,0.1862000823020935
75,0.282806396484375,0.18189488351345062
76,0.279398113489151,0.17773066461086273
77,0.27766165137290955,0.17367766797542572
78,0.2645546793937683,0.1697435826063156
79,0.26163536310195923,0.16594120860099792
80,0.2666553258895874,0.16227909922599792
81,0.26164916157722473,0.15874406695365906
82,0.25182026624679565,0.15531864762306213
83,0.2603849470615387,0.15198718011379242
84,0.2611323893070221,0.14876294136047363
85,0.2564612925052643,0.14564281702041626
86,0.24886679649353027,0.14261934161186218
87,0.2420549988746643,0.1396990418434143
88,0.24686600267887115,0.13687019050121307
89,0.23893439769744873,0.13414286077022552
90,0.23707780241966248,0.13151895999908447
91,0.23852291703224182,0.12899944186210632
92,0.2333543747663498,0.12656445801258087
93,0.23439165949821472,0.12419237196445465
94,0.23580007255077362,0.12190563976764679
95,0.22170665860176086,0.11969629675149918
96,0.23080457746982574,0.1175687313079834
97,0.23338375985622406,0.11551345884799957
98,0.23198440670967102,0.1135319396853447
99,0.2210305780172348,0.11161170899868011
100,0.22350111603736877,0.10978274792432785
101,0.2317727655172348,0.10802603513002396
102,0.22886787354946136,0.10631880909204483
103,0.21684831380844116,0.10468212515115738
104,0.21712695062160492,0.10309719294309616
105,0.22270368039608002,0.10156141966581345
106,0.2177727371454239,0.10005896538496017
107,0.21984189748764038,0.09859251976013184
108,0.20635120570659637,0.09717672318220139
109,0.21651557087898254,0.09580481052398682
110,0.20859462022781372,0.09449057281017303
111,0.2103997766971588,0.09320783615112305
112,0.20319907367229462,0.09196686744689941
113,0.20367981493473053,0.0907628983259201
114,0.20824825763702393,0.08959897607564926
115,0.2072744220495224,0.0884576067328453
116,0.20449519157409668,0.08733762800693512
117,0.20312422513961792,0.08622929453849792
118,0.20260323584079742,0.08516749739646912
119,0.19730053842067719,0.08416817337274551
120,0.20362599194049835,0.0832110345363617
121,0.19849872589111328,0.0822800025343895
122,0.20277166366577148,0.0814061388373375
123,0.19580675661563873,0.08054614812135696
124,0.20081043243408203,0.07969926297664642
125,0.1969202607870102,0.07888056337833405
126,0.19466911256313324,0.07809535413980484
127,0.19561657309532166,0.07733564078807831
128,0.19837038218975067,0.07662574201822281
129,0.1945386379957199,0.07593727856874466
130,0.19361159205436707,0.07527262717485428
131,0.18380339443683624,0.07463834434747696
132,0.18905633687973022,0.07400515675544739
133,0.18932074308395386,0.07338318973779678
134,0.18146415054798126,0.07277431339025497
135,0.1841421127319336,0.07217951864004135
136,0.1822385936975479,0.07161314785480499
137,0.18815264105796814,0.0710635781288147
138,0.18812589347362518,0.07052909582853317
