epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.7288249135017395,0.7229562401771545,0.33125487139516757,0.315,0.30404761904761907,0.19263081900585577
2,0.7252079844474792,0.7162184715270996,0.3328137178487919,0.315,0.4266666666666667,0.19263081900585577
3,0.7173663377761841,0.7096288204193115,0.34840218238503506,0.325,0.5434523809523809,0.20441723040723012
4,0.7107911109924316,0.7031533122062683,0.36554949337490256,0.35,0.6429761904761905,0.25055432372505543
5,0.7056354284286499,0.6967592835426331,0.37957911145752143,0.375,0.7294047619047619,0.29408387484015763
6,0.6981080770492554,0.6904844045639038,0.4201091192517537,0.39,0.7927380952380952,0.31905799356779746
7,0.6925778388977051,0.6842501759529114,0.44972720187061577,0.465,0.8344047619047619,0.43631537703177536
8,0.6870056390762329,0.6780269742012024,0.4793452844894778,0.54,0.8628571428571429,0.5361344537815127
9,0.6800407767295837,0.6717752814292908,0.5198752922837101,0.645,0.8833333333333333,0.6553798027195438
10,0.6756673455238342,0.6654720902442932,0.5580670303975058,0.715,0.8957142857142857,0.7265764023210832
11,0.6698717474937439,0.6591132879257202,0.5814497272018706,0.74,0.9067857142857143,0.7508196721311475
12,0.6628601551055908,0.6526902914047241,0.6367887763055339,0.765,0.914047619047619,0.7740421069613617
13,0.6587576270103455,0.646188497543335,0.6601714731098987,0.79,0.9198809523809524,0.796923076923077
14,0.6517066359519958,0.639604926109314,0.700701480904131,0.805,0.923452380952381,0.8107962587771641
15,0.6441878080368042,0.6328943371772766,0.7365549493374902,0.82,0.9275,0.8246661429693637
16,0.6400408148765564,0.6260457634925842,0.7544816835541699,0.85,0.9311904761904762,0.8524816176470589
17,0.6332773566246033,0.619056761264801,0.769290724863601,0.865,0.9322619047619047,0.8664727272727274
18,0.6243047714233398,0.6119058728218079,0.8028059236165238,0.87,0.9339285714285714,0.8711547452080411
19,0.6173126697540283,0.604581892490387,0.8059236165237724,0.88,0.935952380952381,0.8805519518811181
20,0.6131881475448608,0.5971056222915649,0.8098207326578332,0.88,0.9369047619047619,0.8805519518811181
21,0.6058284640312195,0.5894137024879456,0.8238503507404521,0.885,0.9377380952380953,0.885269113421606
22,0.5971987843513489,0.5815232992172241,0.8409976617303195,0.885,0.9392857142857143,0.8847214330572086
23,0.5907096266746521,0.5734098553657532,0.8581449727201871,0.885,0.9395238095238095,0.8847214330572086
24,0.5823550820350647,0.5651249885559082,0.8542478565861262,0.885,0.9401190476190476,0.8847214330572086
25,0.5740022659301758,0.5566251873970032,0.8698363211223694,0.885,0.9408333333333333,0.8847214330572086
26,0.5679479837417603,0.5479047894477844,0.8565861262665627,0.885,0.9419047619047619,0.8847214330572086
27,0.5599987506866455,0.5389370918273926,0.8651597817614964,0.89,0.9425,0.89
28,0.553584635257721,0.5297998189926147,0.8519095869056897,0.89,0.9426190476190476,0.89
29,0.5444368124008179,0.520502507686615,0.8799688230709275,0.89,0.9428571428571428,0.89
30,0.5343703627586365,0.5110536813735962,0.8737334372564303,0.89,0.9435714285714285,0.89
31,0.5253982543945312,0.5014583468437195,0.8745128604832424,0.89,0.944047619047619,0.89
32,0.515226423740387,0.4917665719985962,0.8830865159781761,0.895,0.9442857142857143,0.8947456562696253
