alpha,n_cal,qhat_BLL,qhat_FSRQ
0.01,1604,0.89902693033218384,0.95931166037917137
0.029600000000000001,1604,0.74901479482650757,0.84058055281639099
0.049200000000000001,1604,0.59240978956222534,0.77697858214378357
0.0688,1604,0.4972730278968811,0.72772520780563354
0.088399999999999992,1604,0.37851628661155701,0.67964556813240051
0.10000000000000001,1604,0.33656549453735352,0.65664362907409668
0.108,1604,0.32164737582206726,0.60484552383422852
0.12759999999999999,1604,0.27846318483352661,0.51237913966178894
0.1472,1604,0.25591751933097839,0.42283576726913452
0.1668,1604,0.23775465786457062,0.38140189647674561
0.18640000000000001,1604,0.22290478646755219,0.34141260385513306
0.20600000000000002,1604,0.2085643857717514,0.27647948265075684
0.22559999999999999,1604,0.19930179417133331,0.24219948053359985
0.2452,1604,0.18445535004138947,0.20944935083389282
0.26479999999999998,1604,0.17200113832950592,0.19707638025283813
0.28439999999999999,1604,0.16325625777244568,0.18653136491775513
0.30399999999999999,1604,0.15426531434059143,0.16282826662063599
0.3236,1604,0.14326006174087524,0.15617185831069946
0.34320000000000001,1604,0.1344221830368042,0.14210200309753418
0.36280000000000001,1604,0.12554280459880829,0.13686656951904297
0.38240000000000002,1604,0.11877899616956711,0.12433993816375732
0.40200000000000002,1604,0.10970404744148254,0.1183125376701355
0.42159999999999997,1604,0.10321880877017975,0.10715150833129883
0.44119999999999998,1604,0.095640577375888824,0.10095930099487305
0.46079999999999999,1604,0.088021442294120789,0.096288919448852428
0.48039999999999999,1604,0.079087622463703156,0.088953912258148193
0.5,1604,0.072419174015522003,0.084520816802978405
0.51959999999999995,1604,0.068513341248035431,0.079097449779510387
0.53920000000000001,1604,0.063114635646343231,0.075647830963134766
0.55879999999999996,1604,0.05841417983174324,0.071289539337158203
0.57840000000000003,1604,0.052520643919706345,0.068052589893341175
0.59799999999999998,1604,0.048070523887872807,0.064888477325439564
0.61760000000000004,1604,0.044837005436420441,0.061810672283172607
0.63719999999999999,1604,0.040488429367542378,0.059314727783203236
0.65679999999999994,1604,0.035906512290239223,0.05427640676498402
0.6764,1604,0.032239329069852829,0.051430583000183216
0.69599999999999995,1604,0.02711273729801178,0.049032270908355602
0.71560000000000001,1604,0.023851709440350422,0.047099828720092773
0.73519999999999996,1604,0.022526849061250798,0.044811785221099965
0.75480000000000003,1604,0.019508605822920799,0.040997445583343617
0.77439999999999998,1604,0.016568584367632755,0.038319945335388184
0.79400000000000004,1604,0.013805098831653595,0.035487174987792969
0.81359999999999999,1604,0.01212533749639999,0.031281650066375621
0.83319999999999994,1604,0.010063806548714638,0.028052449226379395
0.8528,1604,0.0079709077253937721,0.025634944438934437
0.87239999999999995,1604,0.0064493673853576183,0.022565126419067383
0.89200000000000002,1604,0.0051838275976480164,0.019798576831817627
0.91159999999999997,1604,0.003938192967325449,0.016593158245086781
0.93120000000000003,1604,0.0027493513189256191,0.013712823390960804
0.95079999999999998,1604,0.0019372709793969989,0.012026667594909557
0.97039999999999993,1604,0.001182457897812017,0.0080643892288208008
0.98999999999999999,1604,0.00052737310761596934,0.0055683255195617676
