alpha,n_cal,qhat_BLL,qhat_FSRQ
0.01,1604,0.90430939197540294,0.97821274213492881
0.029600000000000001,1604,0.75560843944549561,0.90348531305789948
0.049200000000000001,1604,0.60403132438659668,0.84722352027893066
0.0688,1604,0.50147294998168945,0.79088678956031799
0.088399999999999992,1604,0.3960438072681427,0.68433928489685059
0.10000000000000001,1604,0.35959655046463013,0.62208476662635803
0.108,1604,0.31789648532867432,0.57404559850692749
0.12759999999999999,1604,0.27427858114242554,0.49462318420410156
0.1472,1604,0.22720937430858612,0.44203537702560425
0.1668,1604,0.18536068499088287,0.40261107683181763
0.18640000000000001,1604,0.16771823167800903,0.35813462734222412
0.20600000000000002,1604,0.147452712059021,0.30004948377609253
0.22559999999999999,1604,0.12942215800285339,0.26128464937210083
0.2452,1604,0.1128731369972229,0.23140788078308105
0.26479999999999998,1604,0.099448278546333313,0.20967495441436768
0.28439999999999999,1604,0.090917937457561604,0.19112616777420044
0.30399999999999999,1604,0.081841208040714375,0.16777998208999634
0.3236,1604,0.07477327436208725,0.15966600179672241
0.34320000000000001,1604,0.069017753005027771,0.1444428563117981
0.36280000000000001,1604,0.059470187872648239,0.13755369186401367
0.38240000000000002,1604,0.053871709853410832,0.12821078300476074
0.40200000000000002,1604,0.047878451645374409,0.11674529314041138
0.42159999999999997,1604,0.044199485331773758,0.10738140344619751
0.44119999999999998,1604,0.040379542857408413,0.10317528247833252
0.46079999999999999,1604,0.036726832389831654,0.097283005714416393
0.48039999999999999,1604,0.032911591231822968,0.091238558292388805
0.5,1604,0.029553672298789024,0.082732558250427246
0.51959999999999995,1604,0.026194183155894391,0.077454745769500843
0.53920000000000001,1604,0.023250341415405162,0.072423577308654785
0.55879999999999996,1604,0.021081991493702046,0.067777812480926403
0.57840000000000003,1604,0.017957286909222603,0.064366459846496582
0.59799999999999998,1604,0.016457606106996425,0.061557412147521973
0.61760000000000004,1604,0.014627114869654179,0.057456612586975209
0.63719999999999999,1604,0.011509950272738823,0.054161965847015381
0.65679999999999994,1604,0.010076183825731166,0.049234807491302379
0.6764,1604,0.0082707880064843975,0.04497760534286499
0.69599999999999995,1604,0.00714870635420084,0.043857097625732422
0.71560000000000001,1604,0.0060530994087457657,0.040595412254333607
0.73519999999999996,1604,0.0052993376739324249,0.03881317377090443
0.75480000000000003,1604,0.0043899412266910076,0.034520983695983998
0.77439999999999998,1604,0.0034768905024975538,0.031615078449249157
0.79400000000000004,1604,0.0028331561479716383,0.029971659183502197
0.81359999999999999,1604,0.0024183632340282202,0.027824282646179199
0.83319999999999994,1604,0.0020236079581081867,0.026278018951416016
0.8528,1604,0.0015823459252716221,0.023845255374908447
0.87239999999999995,1604,0.0011795503087341785,0.019187033176422008
0.89200000000000002,1604,0.00084580696420744061,0.01638430356979359
0.91159999999999997,1604,0.00063411484006803409,0.013133645057678223
0.93120000000000003,1604,0.00041346723446622491,0.010939121246338002
0.95079999999999998,1604,0.00027074568788520992,0.0091289877891540527
0.97039999999999993,1604,0.00016303149459417909,0.0063229203224182129
0.98999999999999999,1604,4.6815035602776334e-05,0.0024219155311584473
