fold,fit_samples,heldout_samples,fit_bll,fit_fsrq,heldout_bll,heldout_fsrq,best_epoch_by_val_loss,best_val_loss,best_val_accuracy,best_val_auc,best_val_f1_weighted,heldout_accuracy,heldout_auc,heldout_f1_weighted,heldout_csv,best_model_path
1,1283,321,838,445,215,106,146,0.23896682262420654,0.885,0.9585714285714285,0.8828404921217354,0.9221183800623053,0.9611671785870997,0.9220241763676775,agarwal_outputs/mccp_heldout_folds/agarwal_holdout_fold_01_mccp.csv,agarwal_outputs/mccp_fold_models/fold_01/final_best_by_val_loss.pt
2,1283,321,847,436,206,115,1058,0.23818698525428772,0.905,0.9613095238095238,0.9037681159420289,0.9003115264797508,0.9675390460109751,0.8999085991063496,agarwal_outputs/mccp_heldout_folds/agarwal_holdout_fold_02_mccp.csv,agarwal_outputs/mccp_fold_models/fold_02/final_best_by_val_loss.pt
3,1283,321,849,434,204,117,478,0.22669684886932373,0.9,0.9613095238095237,0.8984173721015827,0.9252336448598131,0.9687866599631305,0.9249464461127571,agarwal_outputs/mccp_heldout_folds/agarwal_holdout_fold_03_mccp.csv,agarwal_outputs/mccp_fold_models/fold_03/final_best_by_val_loss.pt
4,1283,321,833,450,220,101,157,0.23421625792980194,0.88,0.9611904761904762,0.8773809523809523,0.9158878504672897,0.9585058505850585,0.9157739815133754,agarwal_outputs/mccp_heldout_folds/agarwal_holdout_fold_04_mccp.csv,agarwal_outputs/mccp_fold_models/fold_04/final_best_by_val_loss.pt
5,1284,320,845,439,208,112,103,0.2380266785621643,0.895,0.9589285714285715,0.8936384439359267,0.90625,0.9613238324175825,0.9060519849993535,agarwal_outputs/mccp_heldout_folds/agarwal_holdout_fold_05_mccp.csv,agarwal_outputs/mccp_fold_models/fold_05/final_best_by_val_loss.pt
