true_label,BLL,FSRQ
BLL,0.9965054779313505,0.0034945220686495304
BLL,0.144586443901062,0.855413556098938
BLL,0.9421801455318928,0.057819854468107224
BLL,0.8174847215414047,0.18251527845859528
BLL,0.9995298252324574,0.00047017476754263043
BLL,0.9109284281730652,0.08907157182693481
FSRQ,0.13806945085525513,0.8619305491447449
BLL,0.9107496738433838,0.08925032615661621
BLL,0.9968484349083155,0.0031515650916844606
FSRQ,0.07213085889816284,0.9278691411018372
FSRQ,0.14158719778060913,0.8584128022193909
FSRQ,0.019075751304626465,0.9809242486953735
BLL,0.7801073789596558,0.21989262104034424
BLL,0.9969528936780989,0.003047106321901083
BLL,0.9997617601329694,0.00023823986703064293
BLL,0.7162381410598755,0.2837618589401245
BLL,0.7799001187086105,0.22009988129138947
FSRQ,0.031246602535247803,0.9687533974647522
BLL,0.9455924183130264,0.05440758168697357
BLL,0.9718666020780802,0.028133397921919823
FSRQ,0.3687455654144287,0.6312544345855713
BLL,0.9238127991557121,0.07618720084428787
BLL,0.9833537358790636,0.016646264120936394
FSRQ,0.06396311521530151,0.9360368847846985
FSRQ,0.20386993885040283,0.7961300611495972
BLL,0.6995766758918762,0.3004233241081238
BLL,0.9598268009722233,0.04017319902777672
BLL,0.4605943560600281,0.5394056439399719
BLL,0.97487773001194,0.025122269988059998
BLL,0.9981627281522378,0.0018372718477621675
BLL,0.8612741827964783,0.13872581720352173
BLL,0.6803617179393768,0.31963828206062317
BLL,0.9437883645296097,0.05621163547039032
FSRQ,0.06955152750015259,0.9304484724998474
FSRQ,0.013775229454040527,0.9862247705459595
BLL,0.9796036891639233,0.020396310836076736
BLL,0.9944596965797246,0.00554030342027545
BLL,0.9684540219604969,0.0315459780395031
BLL,0.8510982692241669,0.14890173077583313
FSRQ,0.013193190097808838,0.9868068099021912
FSRQ,0.01857471466064453,0.9814252853393555
FSRQ,0.01994788646697998,0.98005211353302
BLL,0.9638885334134102,0.03611146658658981
FSRQ,0.06254005432128906,0.9374599456787109
BLL,0.9992128926678561,0.0007871073321439326
BLL,0.5376335680484772,0.4623664319515228
BLL,0.9694815743714571,0.0305184256285429
FSRQ,0.047740280628204346,0.9522597193717957
FSRQ,0.020157933235168457,0.9798420667648315
FSRQ,0.005280256271362305,0.9947197437286377
BLL,0.9716799408197403,0.028320059180259705
BLL,0.6044630408287048,0.39553695917129517
BLL,0.9551878981292248,0.04481210187077522
BLL,0.9262933433055878,0.07370665669441223
BLL,0.9973493593279272,0.002650640672072768
BLL,0.9351401627063751,0.06485983729362488
BLL,0.9808761328458786,0.0191238671541214
BLL,0.9309443235397339,0.06905567646026611
FSRQ,0.2231733202934265,0.7768266797065735
