true_label,BLL,FSRQ
BLL,0.9951630006544292,0.004836999345570803
BLL,0.2281898856163025,0.7718101143836975
BLL,0.9478897713124752,0.052110228687524796
BLL,0.8260956853628159,0.17390431463718414
BLL,0.9989283044124022,0.0010716955875977874
BLL,0.9458085186779499,0.054191481322050095
FSRQ,0.244462788105011,0.755537211894989
BLL,0.9224939495325089,0.07750605046749115
BLL,0.9930332102812827,0.006966789718717337
FSRQ,0.054456353187561035,0.945543646812439
FSRQ,0.22493582963943481,0.7750641703605652
FSRQ,0.018021881580352783,0.9819781184196472
BLL,0.7880792766809464,0.21192072331905365
BLL,0.9977955950889736,0.0022044049110263586
BLL,0.9989284760085866,0.0010715239914134145
BLL,0.6980894505977631,0.30191054940223694
BLL,0.7602791339159012,0.23972086608409882
FSRQ,0.023466646671295166,0.9765333533287048
BLL,0.9565706476569176,0.04342935234308243
BLL,0.9548691250383854,0.04513087496161461
FSRQ,0.3090154528617859,0.6909845471382141
BLL,0.9346447438001633,0.06535525619983673
BLL,0.9811768606305122,0.018823139369487762
FSRQ,0.11530494689941406,0.8846950531005859
FSRQ,0.23834872245788574,0.7616512775421143
BLL,0.6291956603527069,0.3708043396472931
BLL,0.9794253688305616,0.020574631169438362
BLL,0.469119131565094,0.530880868434906
BLL,0.9695779290050268,0.030422070994973183
BLL,0.9961019405163825,0.003898059483617544
BLL,0.8503194749355316,0.14968052506446838
BLL,0.6755586266517639,0.3244413733482361
BLL,0.9526549726724625,0.04734502732753754
FSRQ,0.06336069107055664,0.9366393089294434
FSRQ,0.025633692741394043,0.974366307258606
BLL,0.9740339014679193,0.02596609853208065
BLL,0.9847851954400539,0.01521480455994606
BLL,0.9823688063770533,0.01763119362294674
BLL,0.8389530777931213,0.16104692220687866
FSRQ,0.009817183017730713,0.9901828169822693
FSRQ,0.03184610605239868,0.9681538939476013
FSRQ,0.04667043685913086,0.9533295631408691
BLL,0.9584529884159565,0.0415470115840435
FSRQ,0.0864439606666565,0.9135560393333435
BLL,0.9972622951027006,0.002737704897299409
BLL,0.43752092123031616,0.5624790787696838
BLL,0.9469374567270279,0.05306254327297211
FSRQ,0.17274558544158936,0.8272544145584106
FSRQ,0.01873600482940674,0.9812639951705933
FSRQ,0.006968379020690918,0.9930316209793091
BLL,0.9694800172001123,0.030519982799887657
BLL,0.5950192809104919,0.40498071908950806
BLL,0.9607738815248013,0.039226118475198746
BLL,0.9524910263717175,0.04750897362828255
BLL,0.99743806803599,0.0025619319640100002
BLL,0.9523925743997097,0.0476074256002903
BLL,0.9767759889364243,0.023224011063575745
BLL,0.9538978561758995,0.046102143824100494
FSRQ,0.2659144401550293,0.7340855598449707
FSRQ,0.9506370164453983,0.04936298355460167
FSRQ,0.04611128568649292,0.9538887143135071
FSRQ,0.11184793710708618,0.8881520628929138
BLL,0.6293500363826752,0.37064996361732483
BLL,0.9868403412401676,0.013159658759832382
BLL,0.9691177904605865,0.030882209539413452
BLL,0.7357531487941742,0.2642468512058258
BLL,0.5607389807701111,0.4392610192298889
FSRQ,0.7449806928634644,0.25501930713653564
FSRQ,0.047828078269958496,0.9521719217300415
BLL,0.9542930610477924,0.045706938952207565
BLL,0.949111845344305,0.05088815465569496
BLL,0.9483881890773773,0.05161181092262268
BLL,0.9573530219495296,0.04264697805047035
FSRQ,0.14907437562942505,0.850925624370575
BLL,0.9801425747573376,0.01985742524266243
FSRQ,0.1937047243118286,0.8062952756881714
FSRQ,0.16075146198272705,0.839248538017273
BLL,0.95156529545784,0.048434704542160034
BLL,0.9930713134817779,0.006928686518222094
FSRQ,0.02371370792388916,0.9762862920761108
FSRQ,0.24593359231948853,0.7540664076805115
BLL,0.984351160004735,0.015648839995265007
BLL,0.8839357048273087,0.11606429517269135
FSRQ,0.09060192108154297,0.909398078918457
BLL,0.9993563420139253,0.000643657986074686
BLL,0.9797369614243507,0.02026303857564926
BLL,0.9850637158378959,0.01493628416210413
BLL,0.9592248573899269,0.04077514261007309
FSRQ,0.41926121711730957,0.5807387828826904
BLL,0.9654770232737064,0.034522976726293564
BLL,0.8434101492166519,0.15658985078334808
BLL,0.9835439622402191,0.016456037759780884
BLL,0.10721081495285034,0.8927891850471497
BLL,0.994135320186615,0.00586467981338501
BLL,0.9979371447116137,0.002062855288386345
BLL,0.941796213388443,0.05820378661155701
BLL,0.9968800095375627,0.003119990462437272
BLL,0.9769464135169983,0.02305358648300171
BLL,0.9747158121317625,0.025284187868237495
BLL,0.568287193775177,0.431712806224823
FSRQ,0.015780627727508545,0.9842193722724915
BLL,0.9902090905234218,0.009790909476578236
BLL,0.991725112311542,0.008274887688457966
FSRQ,0.8741367161273956,0.12586328387260437
BLL,0.917362354695797,0.08263764530420303
BLL,0.9841675199568272,0.015832480043172836
BLL,0.9910899559035897,0.008910044096410275
BLL,0.8259239494800568,0.17407605051994324
BLL,0.9198859706521034,0.08011402934789658
BLL,0.9814978018403053,0.01850219815969467
BLL,0.0674096941947937,0.9325903058052063
BLL,0.991246659308672,0.008753340691328049
BLL,0.9970565757248551,0.0029434242751449347
FSRQ,0.047477543354034424,0.9525224566459656
BLL,0.9895716039463878,0.010428396053612232
FSRQ,0.04328960180282593,0.9567103981971741
FSRQ,0.12816137075424194,0.8718386292457581
FSRQ,0.011923074722290039,0.98807692527771
FSRQ,0.1959204077720642,0.8040795922279358
FSRQ,0.15274596214294434,0.8472540378570557
FSRQ,0.23541265726089478,0.7645873427391052
BLL,0.9899875074625015,0.010012492537498474
FSRQ,0.4322246313095093,0.5677753686904907
BLL,0.9837252199649811,0.01627478003501892
FSRQ,0.10359138250350952,0.8964086174964905
BLL,0.7220979034900665,0.27790209650993347
BLL,0.292493999004364,0.707506000995636
BLL,0.9932184047065675,0.006781595293432474
BLL,0.9397817403078079,0.06021825969219208
FSRQ,0.007570445537567139,0.9924295544624329
BLL,0.6201792061328888,0.3798207938671112
BLL,0.9113916531205177,0.08860834687948227
BLL,0.9959422699175775,0.004057730082422495
BLL,0.9407210759818554,0.05927892401814461
BLL,0.9787306468933821,0.021269353106617928
FSRQ,0.14160943031311035,0.8583905696868896
FSRQ,0.007518768310546875,0.9924812316894531
BLL,0.9435192793607712,0.05648072063922882
BLL,0.9299480468034744,0.07005195319652557
BLL,0.9949892279691994,0.005010772030800581
BLL,0.9535046741366386,0.04649532586336136
FSRQ,0.009988844394683838,0.9900111556053162
FSRQ,0.7925297170877457,0.20747028291225433
FSRQ,0.06351715326309204,0.936482846736908
BLL,0.9268811941146851,0.07311880588531494
BLL,0.9511331245303154,0.0488668754696846
BLL,0.9977649603970349,0.0022350396029651165
FSRQ,0.004781663417816162,0.9952183365821838
BLL,0.9917877744883299,0.008212225511670113
FSRQ,0.029077529907226562,0.9709224700927734
BLL,0.9794920720160007,0.020507927983999252
FSRQ,0.08204787969589233,0.9179521203041077
FSRQ,0.0040509700775146484,0.9959490299224854
BLL,0.7064943313598633,0.2935056686401367
BLL,0.9665560126304626,0.033443987369537354
BLL,0.7732652574777603,0.22673474252223969
BLL,0.9764207005500793,0.023579299449920654
BLL,0.9950113007798791,0.004988699220120907
BLL,0.9499131068587303,0.050086893141269684
BLL,0.9434872418642044,0.05651275813579559
BLL,0.9917953098192811,0.008204690180718899
FSRQ,0.009199202060699463,0.9908007979393005
BLL,0.8778742030262947,0.12212579697370529
BLL,0.9710505455732346,0.028949454426765442
BLL,0.9918021829798818,0.008197817020118237
BLL,0.9343402609229088,0.06565973907709122
BLL,0.8624049425125122,0.1375950574874878
BLL,0.9812667351216078,0.01873326487839222
FSRQ,0.08052867650985718,0.9194713234901428
FSRQ,0.006723225116729736,0.9932767748832703
BLL,0.7490058243274689,0.25099417567253113
BLL,0.6860685348510742,0.3139314651489258
FSRQ,0.18852567672729492,0.8114743232727051
FSRQ,0.90040123462677,0.09959876537322998
BLL,0.9945037607103586,0.00549623928964138
FSRQ,0.005929768085479736,0.9940702319145203
FSRQ,0.0028130412101745605,0.9971869587898254
BLL,0.9848711481317878,0.015128851868212223
BLL,0.9992882404476404,0.000711759552359581
BLL,0.95415860414505,0.04584139585494995
FSRQ,0.02980351448059082,0.9701964855194092
BLL,0.9928535209037364,0.007146479096263647
FSRQ,0.6290861666202545,0.3709138333797455
