epoch,train_loss,valid_loss,train_accuracy,valid_accuracy
1,0.6999154541981193,0.6941791772842407,0.5163678877630553,0.545
2,0.6949996057656809,0.6878193020820618,0.534294621979735,0.5625
3,0.690595416983681,0.681975245475769,0.5674201091192518,0.57
4,0.6863305816312182,0.6765703558921814,0.5865159781761496,0.6
5,0.6828881515159517,0.6715054512023926,0.6017147310989868,0.6075
6,0.6797110265525913,0.6668933033943176,0.607950116913484,0.63
7,0.6770864741837523,0.6627237200737,0.6087295401402962,0.6475
8,0.6749020706185678,0.6590403914451599,0.607950116913484,0.655
9,0.672952370818295,0.6558154821395874,0.6063912704598597,0.65
10,0.6711799012713384,0.6529778242111206,0.6067809820732658,0.6525
11,0.6697411187347359,0.6504685878753662,0.607950116913484,0.6525
12,0.6684504509994227,0.6482384204864502,0.6095089633671084,0.655
13,0.6674231905446606,0.6462731957435608,0.6098986749805144,0.66
14,0.6665911307022707,0.6446695923805237,0.6134060795011691,0.6525
15,0.6659542087549728,0.6433589458465576,0.6122369446609509,0.655
16,0.6655025620155751,0.6423010230064392,0.6161340607950117,0.66
17,0.665079388456798,0.6414067149162292,0.6192517537022604,0.6575
18,0.664850164602626,0.6406261324882507,0.6215900233826968,0.66
19,0.6645907459088071,0.6398505568504333,0.6215900233826968,0.6575
20,0.6644346748862708,0.6391117572784424,0.6200311769290725,0.6525
21,0.6642209911197773,0.6384137868881226,0.6215900233826968,0.655
22,0.6641204030552788,0.6378020644187927,0.6204208885424786,0.6575
23,0.663961790635636,0.6373786330223083,0.6180826188620421,0.655
24,0.6638077287030982,0.637141227722168,0.6180826188620421,0.6575
25,0.6636652154840721,0.637006402015686,0.6184723304754481,0.6625
26,0.6635098018315465,0.636934757232666,0.61730319563523,0.665
27,0.6633713525993603,0.6369962096214294,0.6180826188620421,0.665
28,0.6632094794850933,0.6371204257011414,0.6196414653156664,0.6625
29,0.663059705602686,0.6372645497322083,0.6196414653156664,0.6675
30,0.6629249642625602,0.6374313235282898,0.6188620420888542,0.665
31,0.6627661664320543,0.6377393007278442,0.6180826188620421,0.6625
32,0.6626820950329722,0.6381409168243408,0.6165237724084178,0.6625
33,0.6625994614856092,0.6385448575019836,0.6157443491816056,0.6625
34,0.6625173796180255,0.6388258337974548,0.6157443491816056,0.66
35,0.662403932420518,0.6390689015388489,0.6145752143413874,0.665
36,0.6622985449045409,0.6392506957054138,0.6149649259547935,0.6625
37,0.6621760886717103,0.6393510699272156,0.6161340607950117,0.665
38,0.6620757878058977,0.6395138502120972,0.6192517537022604,0.6625
39,0.662016050897347,0.6396395564079285,0.6200311769290725,0.6625
40,0.6619104554852004,0.6397470831871033,0.6212003117692907,0.665
41,0.6618172627636352,0.640007734298706,0.6204208885424786,0.6625
42,0.6617417720176239,0.640354335308075,0.6219797349961029,0.66
43,0.6616981258080141,0.6406800150871277,0.6235385814497272,0.66
44,0.6616648666485156,0.6409907341003418,0.6258768511301637,0.6575
45,0.661575596916053,0.6414287686347961,0.627435697583788,0.655
46,0.6615887622023038,0.6418311595916748,0.6250974279033515,0.6575
47,0.6616044177362348,0.642079770565033,0.622369446609509,0.655
48,0.661634217875132,0.6421355605125427,0.6219797349961029,0.655
49,0.6615488727577756,0.6419312953948975,0.6204208885424786,0.6575
50,0.6614465005957142,0.6416040658950806,0.6235385814497272,0.6625
51,0.6613003045250825,0.6411391496658325,0.622759158222915,0.665
52,0.6612245908772119,0.6406149864196777,0.6243180046765393,0.6675
53,0.6611372564606433,0.6402127146720886,0.622369446609509,0.67
54,0.6610792228140501,0.6399888396263123,0.6212003117692907,0.6725
55,0.6610354900545936,0.639880895614624,0.6204208885424786,0.67
56,0.6609907783480798,0.6398224830627441,0.6196414653156664,0.67
57,0.6609311017410325,0.6398023366928101,0.6196414653156664,0.67
58,0.6608747445041094,0.6398220658302307,0.6204208885424786,0.67
59,0.6608487054972749,0.6399444937705994,0.6212003117692907,0.6675
60,0.6607612503383277,0.6401252746582031,0.6204208885424786,0.6675
61,0.6607089556016127,0.640349805355072,0.6200311769290725,0.6675
62,0.660660488244991,0.6405609250068665,0.6196414653156664,0.6675
63,0.6606306494536663,0.6406868100166321,0.6212003117692907,0.66
64,0.6605668433086072,0.6407535672187805,0.6192517537022604,0.66
65,0.6605186780169896,0.6407283544540405,0.6192517537022604,0.66
66,0.6604855236185777,0.6406194567680359,0.6196414653156664,0.6625
67,0.6604280961925688,0.6404195427894592,0.6192517537022604,0.6625
68,0.6603970901165173,0.6402076482772827,0.6200311769290725,0.66
69,0.6603501283462774,0.6401429176330566,0.6212003117692907,0.66
70,0.6602778419422527,0.6402097344398499,0.6219797349961029,0.6525
71,0.660231390783588,0.640256941318512,0.6239282930631332,0.6475
72,0.6602592840384248,0.6402485370635986,0.6243180046765393,0.645
73,0.6602362422207233,0.6401410102844238,0.6235385814497272,0.6475
74,0.6602374373333396,0.6399282217025757,0.622759158222915,0.6475
75,0.660148408667519,0.6396362781524658,0.6231488698363211,0.6525
76,0.6600973360815368,0.6392776370048523,0.6231488698363211,0.65
77,0.6600328042278601,0.6389213800430298,0.6212003117692907,0.6525
78,0.6599870569429078,0.6385900974273682,0.6196414653156664,0.6575
79,0.6599159699720233,0.6383044123649597,0.6161340607950117,0.6575
80,0.6598997836640731,0.6380904316902161,0.617692907248636,0.6575
81,0.6598342597159388,0.6381493210792542,0.61730319563523,0.6575
82,0.6597573761352783,0.6383023262023926,0.6180826188620421,0.6575
83,0.6597113813261268,0.6384862661361694,0.6180826188620421,0.6575
