epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.6874086260795593,0.6584028005599976,0.573655494933749,0.645,0.6030952380952382,0.6514888869818931
2,0.6828762888908386,0.6543295383453369,0.5837879968823071,0.655,0.618452380952381,0.6613061014331073
3,0.6783814430236816,0.6502911448478699,0.5954793452844894,0.655,0.6335714285714286,0.6613061014331073
4,0.6739243865013123,0.6462881565093994,0.6040530007794233,0.655,0.6489285714285715,0.6613061014331073
5,0.6695058345794678,0.6423205733299255,0.6157443491816056,0.68,0.6609523809523811,0.6841153979840111
6,0.665126383304596,0.6383886933326721,0.6328916601714731,0.69,0.6730952380952381,0.6939867917970107
7,0.6607863903045654,0.6344926953315735,0.646921278254092,0.69,0.688095238095238,0.6939867917970107
8,0.6564865112304688,0.6306326389312744,0.6554949337490257,0.695,0.7011904761904763,0.6994952554007672
9,0.6522271037101746,0.6268085837364197,0.6656274356975838,0.7,0.7138095238095238,0.7038581856100105
10,0.6480085253715515,0.6230205297470093,0.6726422447388932,0.72,0.7254761904761905,0.7212878877226089
11,0.6438313722610474,0.6192682385444641,0.6819953234606392,0.725,0.7377380952380952,0.7256435320951451
12,0.6396957039833069,0.6155515313148499,0.6905689789555729,0.73,0.7502380952380953,0.73
13,0.6356018781661987,0.6118704080581665,0.7022603273577552,0.735,0.7623809523809524,0.7343580848709591
14,0.6315503716468811,0.6082244515419006,0.7077162899454403,0.745,0.7734523809523809,0.7455967297609527
15,0.6275410652160645,0.6046134829521179,0.7170693686671863,0.745,0.7838095238095237,0.7455967297609527
16,0.6235743761062622,0.6010372042655945,0.7217459080280593,0.75,0.7938095238095237,0.75
17,0.6196502447128296,0.597495436668396,0.7310989867498051,0.755,0.8030952380952381,0.7544065312957923
18,0.6157689094543457,0.5939878225326538,0.7388932190179267,0.76,0.812857142857143,0.76
19,0.6119303107261658,0.5905145406723022,0.745128604832424,0.77,0.8216666666666668,0.77
20,0.608134388923645,0.5870752334594727,0.7521434138737334,0.775,0.8286904761904762,0.7744549777206257
21,0.6043813228607178,0.5836701393127441,0.7552611067809821,0.78,0.8370238095238095,0.78
22,0.6006708741188049,0.580299437046051,0.7661730319563523,0.785,0.8435714285714286,0.785503125092568
23,0.5970031023025513,0.5769631862640381,0.7755261106780982,0.785,0.8519047619047619,0.785503125092568
24,0.5933777689933777,0.5736615061759949,0.779423226812159,0.785,0.8603571428571428,0.785503125092568
25,0.5897948741912842,0.5703946352005005,0.7833203429462198,0.795,0.8657142857142857,0.7954797239254716
26,0.5862541198730469,0.5671627521514893,0.7856586126266563,0.79,0.8703571428571428,0.7909659157919566
27,0.5827556848526001,0.5639659762382507,0.7887763055339049,0.79,0.8753571428571428,0.7909659157919566
28,0.5792989730834961,0.5608043670654297,0.7903351519875292,0.79,0.8807142857142858,0.7909659157919566
29,0.5758840441703796,0.5576780438423157,0.79423226812159,0.805,0.8863095238095238,0.8063220921017874
30,0.5725105404853821,0.5545870661735535,0.798908807482463,0.805,0.8902380952380953,0.8063220921017874
31,0.5691781640052795,0.5515312552452087,0.8020265003897116,0.805,0.8934523809523809,0.8063220921017874
32,0.5658868551254272,0.548510730266571,0.8028059236165238,0.81,0.8976190476190476,0.8108739238117701
33,0.562636137008667,0.545525312423706,0.8082618862042089,0.815,0.9011904761904761,0.816254292506824
34,0.5594257116317749,0.5425748229026794,0.8121590023382697,0.815,0.9042857142857142,0.816254292506824
35,0.5562553405761719,0.5396592020988464,0.8168355416991426,0.83,0.9085714285714286,0.8315100514259
36,0.5531246662139893,0.5367782115936279,0.8207326578332035,0.835,0.9107142857142858,0.836118693316897
37,0.5500333309173584,0.5339315533638,0.8246297739672642,0.85,0.9129761904761904,0.8519290928050052
38,0.5469807386398315,0.531119167804718,0.8277474668745128,0.855,0.915595238095238,0.8571370886331516
39,0.5439670085906982,0.5283406972885132,0.828526890101325,0.855,0.9176190476190477,0.8571370886331516
40,0.5409913659095764,0.5255958437919617,0.828526890101325,0.86,0.9197619047619048,0.8623161764705882
41,0.5380534529685974,0.5228843688964844,0.8308651597817615,0.865,0.9223809523809524,0.8669897032101757
42,0.5351529717445374,0.5202059745788574,0.8324240062353858,0.865,0.9236904761904762,0.8669897032101757
43,0.532289445400238,0.5175602436065674,0.8324240062353858,0.865,0.9249999999999999,0.8669897032101757
44,0.5294623970985413,0.5149469971656799,0.8332034294621979,0.875,0.9255952380952381,0.8763636363636362
45,0.5266715288162231,0.5123656988143921,0.8378799688230709,0.875,0.9273809523809523,0.8763636363636362
46,0.5239162445068359,0.5098162293434143,0.8417770849571318,0.88,0.9291666666666666,0.881543274244004
47,0.5211963057518005,0.5072980523109436,0.8425565081839439,0.875,0.9304761904761905,0.8768423177871998
48,0.5185110569000244,0.5048109292984009,0.8448947778643804,0.875,0.9316666666666666,0.8768423177871998
49,0.5158602595329285,0.5023543834686279,0.848012470771629,0.875,0.9325,0.8768423177871998
50,0.5132432579994202,0.4999281167984009,0.8511301636788776,0.88,0.9335714285714286,0.8819852941176469
51,0.5106596946716309,0.4975317418575287,0.852689010132502,0.88,0.9342857142857143,0.8819852941176469
52,0.5081091523170471,0.4951648712158203,0.8542478565861262,0.88,0.9353571428571428,0.8819852941176469
53,0.5055911540985107,0.49282723665237427,0.8542478565861262,0.875,0.935952380952381,0.8772848193598216
54,0.5031052827835083,0.49051833152770996,0.8542478565861262,0.875,0.9373809523809523,0.8772848193598216
55,0.5006510615348816,0.48823782801628113,0.8550272798129385,0.875,0.9373809523809523,0.8772848193598216
56,0.4982280433177948,0.4859853982925415,0.857365549493375,0.875,0.9378571428571428,0.8772848193598216
57,0.4958358108997345,0.4837605953216553,0.8581449727201871,0.885,0.9382142857142857,0.8866949323642237
58,0.4934738874435425,0.4815630614757538,0.8581449727201871,0.885,0.9391666666666667,0.8866949323642237
59,0.49114182591438293,0.47939255833625793,0.8589243959469992,0.89,0.9396428571428571,0.8918198529411764
60,0.4888392686843872,0.47724848985671997,0.8589243959469992,0.89,0.94,0.8918198529411764
61,0.4865657091140747,0.4751306474208832,0.8604832424006236,0.895,0.9403571428571429,0.89691924826225
62,0.4843207597732544,0.4730386435985565,0.8628215120810601,0.895,0.9410714285714286,0.89691924826225
63,0.48210394382476807,0.47097209095954895,0.8659392049883087,0.895,0.9411904761904761,0.89691924826225
64,0.47991490364074707,0.4689306914806366,0.8667186282151208,0.895,0.9416666666666667,0.89691924826225
65,0.477753221988678,0.46691399812698364,0.8667186282151208,0.895,0.9419047619047619,0.89691924826225
66,0.4756183922290802,0.4649218022823334,0.8674980514419329,0.895,0.9421428571428572,0.89691924826225
67,0.47351011633872986,0.46295365691185,0.8682774746687452,0.9,0.9421428571428572,0.901994301994302
68,0.4714279770851135,0.4610091745853424,0.8698363211223694,0.9,0.9426190476190477,0.901994301994302
69,0.46937161684036255,0.45908814668655396,0.8713951675759938,0.9,0.9427380952380953,0.901994301994302
70,0.46734046936035156,0.45719021558761597,0.8713951675759938,0.9,0.9429761904761905,0.901994301994302
71,0.46533435583114624,0.45531490445137024,0.8706157443491817,0.9,0.9435714285714286,0.901994301994302
72,0.4633527994155884,0.45346206426620483,0.8706157443491817,0.9,0.9439285714285715,0.901994301994302
73,0.4613954722881317,0.4516313970088959,0.8713951675759938,0.9,0.9441666666666667,0.901994301994302
74,0.45946189761161804,0.44982245564460754,0.8713951675759938,0.895,0.9442857142857143,0.89691924826225
75,0.4575517773628235,0.44803497195243835,0.872954014029618,0.895,0.9444047619047619,0.89691924826225
