epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.8267104029655457,0.8540477156639099,0.338269680436477,0.3,0.6288095238095238,0.13846153846153847
2,0.8195059895515442,0.8453162908554077,0.338269680436477,0.3,0.6282142857142857,0.13846153846153847
3,0.812473714351654,0.8367677927017212,0.338269680436477,0.3,0.6270238095238095,0.13846153846153847
4,0.8056187033653259,0.828407883644104,0.338269680436477,0.305,0.6251190476190476,0.1489252170103234
5,0.7989447712898254,0.8202422857284546,0.33982852689010135,0.305,0.6238095238095238,0.1489252170103234
6,0.7924560308456421,0.8122762441635132,0.34060795011691347,0.305,0.6221428571428572,0.1489252170103234
7,0.7861551642417908,0.8045141696929932,0.34294621979734996,0.31,0.6190476190476191,0.15925319358008516
8,0.7800444960594177,0.7969602346420288,0.34372564302416214,0.31,0.6146428571428573,0.15925319358008516
9,0.7741249203681946,0.7896177172660828,0.34684333593141076,0.31,0.6121428571428572,0.15925319358008516
10,0.7683961987495422,0.7824886441230774,0.35307872174590804,0.31,0.6101190476190477,0.15925319358008516
11,0.7628566026687622,0.77557373046875,0.35697583787996884,0.315,0.6095238095238095,0.16944845038230252
12,0.7575026154518127,0.7688720226287842,0.36243180046765394,0.315,0.6065476190476191,0.16944845038230252
13,0.7523297667503357,0.7623813152313232,0.37334372564302415,0.335,0.6019047619047619,0.21620364180860452
14,0.7473319172859192,0.7560977935791016,0.3780202650038971,0.355,0.6023809523809524,0.25312375962530764
15,0.7425026893615723,0.7500169277191162,0.3858144972720187,0.385,0.6004761904761905,0.3108240858650173
16,0.7378350496292114,0.7441332340240479,0.39438815276695244,0.41,0.599047619047619,0.3511275872721656
17,0.733321487903595,0.7384409308433533,0.40763834762275913,0.415,0.5976190476190476,0.3589370614993189
18,0.7289547324180603,0.732933521270752,0.4177708495713172,0.455,0.5967857142857143,0.42228978237186793
19,0.7247272729873657,0.7276045083999634,0.4255650818394388,0.46,0.5973809523809525,0.4359915314043754
20,0.7206316590309143,0.7224472165107727,0.4286827747466875,0.465,0.5995238095238096,0.44876101528959855
21,0.716660737991333,0.7174548506736755,0.4427123928293063,0.47,0.6001190476190477,0.4553191489361702
22,0.712807297706604,0.7126204967498779,0.4583008573655495,0.485,0.6013095238095238,0.47714950814748064
23,0.7090648412704468,0.7079377174377441,0.47778643803585347,0.495,0.6060714285714285,0.49397734943373584
24,0.7054267525672913,0.7033998370170593,0.49649259547934527,0.49,0.6079761904761904,0.4956660994895406
25,0.7018869519233704,0.6990005373954773,0.5027279812938426,0.52,0.6121428571428571,0.5298273785628261
26,0.6984395980834961,0.6947335004806519,0.5105222135619641,0.525,0.616547619047619,0.5388884684275588
27,0.6950792074203491,0.6905929446220398,0.5378020265003897,0.545,0.6205952380952381,0.5608888888888888
28,0.6918004751205444,0.686572790145874,0.5401402961808262,0.56,0.6258333333333334,0.5773399014778325
29,0.6885983943939209,0.6826675534248352,0.5526110678098207,0.57,0.6305952380952381,0.5873133559880548
30,0.6854681968688965,0.6788718700408936,0.5643024162120032,0.58,0.6357738095238096,0.5973856209150327
31,0.6824052333831787,0.6751802563667297,0.5627435697583788,0.58,0.6401190476190476,0.5975
32,0.6794055104255676,0.6715877652168274,0.5720966484801248,0.6,0.6454761904761905,0.6162988115449914
33,0.6764645576477051,0.6680896282196045,0.5806703039750585,0.6,0.6511904761904761,0.616
