epoch,train_loss,valid_loss
1,1.0217044353485107,1.0612832307815552
2,1.011292576789856,1.0518221855163574
3,1.0016077756881714,1.0429024696350098
4,0.9925838708877563,1.034226655960083
5,0.9839470386505127,1.0256290435791016
6,0.9754573106765747,1.016951560974121
7,0.9668890833854675,1.0080240964889526
8,0.958005428314209,0.9986302256584167
9,0.9486376643180847,0.9886069297790527
10,0.9386588931083679,0.9778953194618225
11,0.9279401898384094,0.9663713574409485
12,0.9164369702339172,0.9540579915046692
13,0.904059886932373,0.940911591053009
14,0.8908196091651917,0.9269052743911743
15,0.8766680359840393,0.9121070504188538
16,0.8615546226501465,0.8963949084281921
17,0.8454231023788452,0.8797422647476196
18,0.8282644748687744,0.8621453046798706
19,0.8100584149360657,0.8434972167015076
20,0.7907690405845642,0.8238071799278259
21,0.7703419327735901,0.8031337857246399
22,0.7487706542015076,0.7814078330993652
23,0.7261216640472412,0.7586933374404907
24,0.7024538516998291,0.7350754141807556
25,0.6778197884559631,0.7106208205223083
26,0.6523487567901611,0.6854759454727173
27,0.62617427110672,0.6597180366516113
28,0.5994983911514282,0.6335649490356445
29,0.5725148916244507,0.6072018146514893
30,0.5454607605934143,0.58083575963974
31,0.5186107158660889,0.5547257661819458
32,0.4922723174095154,0.5291445255279541
33,0.4667438566684723,0.504317581653595
34,0.4422997236251831,0.4805082380771637
35,0.419172465801239,0.45789071917533875
36,0.39757010340690613,0.4365825951099396
37,0.37760281562805176,0.41664594411849976
38,0.3592745065689087,0.3979610204696655
39,0.3424672484397888,0.3803626000881195
40,0.326958030462265,0.36359506845474243
41,0.31246310472488403,0.347350537776947
42,0.2986346185207367,0.33121493458747864
43,0.2851051986217499,0.31487205624580383
44,0.2715568244457245,0.29811179637908936
45,0.2577759325504303,0.28089815378189087
46,0.2437080442905426,0.26333534717559814
47,0.2294674813747406,0.24576091766357422
48,0.21530409157276154,0.22864679992198944
49,0.20155176520347595,0.21253633499145508
50,0.18858212232589722,0.19780901074409485
51,0.17675510048866272,0.1847178190946579
52,0.16626521944999695,0.1733660250902176
53,0.15718276798725128,0.1637105494737625
54,0.1494540274143219,0.1555708795785904
55,0.14291298389434814,0.14871132373809814
56,0.13733766973018646,0.1428753286600113
57,0.132485032081604,0.13784144818782806
58,0.12813445925712585,0.13337674736976624
59,0.12405729293823242,0.12927068769931793
60,0.12008203566074371,0.1253344863653183
61,0.11609131097793579,0.12145654112100601
62,0.11204392462968826,0.11758794635534286
63,0.10796689987182617,0.11373275518417358
64,0.10396306216716766,0.10995330661535263
65,0.10014573484659195,0.1063266396522522
66,0.0966048464179039,0.1029067263007164
67,0.09337784349918365,0.09970995038747787
68,0.09046551585197449,0.09676101803779602
69,0.08785523474216461,0.09408312290906906
70,0.08552427589893341,0.0916622057557106
71,0.08344151079654694,0.08946718275547028
72,0.08157365024089813,0.08748623728752136
73,0.07987626641988754,0.08568168431520462
74,0.0782889723777771,0.08400534838438034
75,0.07676617801189423,0.08238384872674942
76,0.07527800649404526,0.08078161627054214
77,0.0737919956445694,0.07914187014102936
78,0.07228276878595352,0.0774172991514206
79,0.07074129581451416,0.07556702941656113
80,0.06915023922920227,0.0735742598772049
81,0.06750365346670151,0.07144506275653839
82,0.06581197679042816,0.06923027336597443
83,0.0641041100025177,0.06699471920728683
84,0.062409937381744385,0.06480748951435089
85,0.06076351925730705,0.0627332255244255
86,0.059202611446380615,0.06081207096576691
87,0.057754360139369965,0.059066761285066605
88,0.05643061548471451,0.05748780816793442
89,0.05523037537932396,0.05606606602668762
90,0.054141443222761154,0.05478762462735176
91,0.05314435809850693,0.05363179370760918
92,0.05221645161509514,0.05256561189889908
93,0.05133810266852379,0.05157396197319031
94,0.05048709735274315,0.05062919482588768
95,0.04964517802000046,0.04972345009446144
