epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.6407883763313293,0.5912126302719116,0.6593920498830865,0.7,0.6929761904761904,0.5764705882352941
2,0.6464199423789978,0.5864478945732117,0.65705378020265,0.7,0.7292857142857143,0.5764705882352941
3,0.6371166706085205,0.5817447304725647,0.6601714731098987,0.7,0.76,0.5764705882352941
4,0.6341341137886047,0.5770962834358215,0.65705378020265,0.7,0.7866666666666667,0.5764705882352941
5,0.628528892993927,0.5725080966949463,0.6601714731098987,0.7,0.8086904761904762,0.5764705882352941
6,0.6202694773674011,0.5679730176925659,0.6578332034294622,0.7,0.8336904761904763,0.5764705882352941
7,0.6172730326652527,0.56349116563797,0.6593920498830865,0.7,0.8494047619047619,0.5764705882352941
8,0.6070675253868103,0.5590606927871704,0.6609508963367108,0.7,0.8626190476190476,0.5764705882352941
9,0.6020100116729736,0.5546838641166687,0.6632891660171473,0.7,0.8739285714285714,0.5764705882352941
10,0.5897529125213623,0.5503624081611633,0.6648480124707716,0.7,0.8847619047619047,0.5764705882352941
11,0.5881363153457642,0.5460972785949707,0.661730319563523,0.7,0.8925000000000001,0.5764705882352941
12,0.5944121479988098,0.5418742299079895,0.6578332034294622,0.7,0.8980952380952382,0.5764705882352941
13,0.5826125144958496,0.5376999378204346,0.666406858924396,0.7,0.9033333333333333,0.5764705882352941
14,0.5820916295051575,0.5335690379142761,0.6648480124707716,0.7,0.9105952380952381,0.5764705882352941
15,0.5768789649009705,0.5294875502586365,0.6632891660171473,0.7,0.9145238095238095,0.5764705882352941
16,0.5739755630493164,0.5254541635513306,0.6656274356975838,0.7,0.9185714285714286,0.5764705882352941
17,0.5661231279373169,0.5214687585830688,0.6656274356975838,0.7,0.923095238095238,0.5764705882352941
18,0.5577679872512817,0.5175372958183289,0.6671862821512081,0.7,0.9255952380952381,0.5764705882352941
19,0.550947368144989,0.5136592984199524,0.6695245518316446,0.7,0.9283333333333333,0.5764705882352941
20,0.5578600764274597,0.5098286271095276,0.6640685892439595,0.7,0.9310714285714285,0.5764705882352941
21,0.554545521736145,0.5060426592826843,0.6648480124707716,0.7,0.9330952380952381,0.5764705882352941
22,0.5395968556404114,0.5022927522659302,0.6726422447388932,0.7,0.9351190476190476,0.5764705882352941
23,0.5379767417907715,0.4985823333263397,0.6734216679657054,0.7,0.9366666666666666,0.5764705882352941
24,0.5310745239257812,0.49490565061569214,0.6819953234606392,0.7,0.9383333333333332,0.5764705882352941
25,0.5322719216346741,0.49125736951828003,0.6788776305533905,0.7,0.9395238095238095,0.5764705882352941
26,0.5296990871429443,0.4876393973827362,0.6882307092751364,0.7,0.9408333333333333,0.5764705882352941
27,0.527999222278595,0.48406192660331726,0.6796570537802027,0.7,0.9410714285714286,0.5764705882352941
28,0.524296760559082,0.480530321598053,0.686671862821512,0.71,0.9416666666666667,0.5992364955144112
29,0.5169696807861328,0.47704046964645386,0.6897895557287607,0.715,0.9428571428571428,0.6101738024586689
30,0.5043970346450806,0.4735742211341858,0.7030397505845675,0.715,0.9438095238095238,0.6101738024586689
31,0.5039141178131104,0.4701366424560547,0.6952455183164459,0.715,0.9445238095238095,0.6101738024586689
32,0.5037634968757629,0.46672117710113525,0.7014809041309431,0.715,0.9448809523809523,0.6101738024586689
33,0.5002334713935852,0.46333396434783936,0.7069368667186282,0.715,0.9460714285714286,0.6101738024586689
34,0.49799978733062744,0.45996928215026855,0.7030397505845675,0.715,0.9466666666666667,0.6101738024586689
35,0.49077093601226807,0.45663902163505554,0.7217459080280593,0.715,0.9467857142857142,0.6101738024586689
36,0.49164941906929016,0.4533393383026123,0.7147310989867498,0.725,0.9471428571428572,0.6312284730195177
37,0.4814082980155945,0.4500696063041687,0.7334372564302416,0.735,0.9471428571428571,0.6512751557527677
