true_label,BLL,FSRQ
BLL,0.9917235774919391,0.008276422508060932
BLL,0.26774483919143677,0.7322551608085632
BLL,0.9138385877013206,0.08616141229867935
BLL,0.6247309148311615,0.3752690851688385
BLL,0.9998506242263829,0.00014937577361706644
BLL,0.9160973951220512,0.08390260487794876
FSRQ,0.18154442310333252,0.8184555768966675
BLL,0.8568835854530334,0.14311641454696655
BLL,0.9888904355466366,0.011109564453363419
FSRQ,0.1272304654121399,0.8727695345878601
FSRQ,0.19332629442214966,0.8066737055778503
FSRQ,0.04162043333053589,0.9583795666694641
BLL,0.5475505292415619,0.4524494707584381
BLL,0.9987592311808839,0.001240768819116056
BLL,0.9995280979201198,0.0004719020798802376
BLL,0.5893044471740723,0.41069555282592773
BLL,0.7692582309246063,0.23074176907539368
FSRQ,0.07369774580001831,0.9263022541999817
BLL,0.8976045176386833,0.10239548236131668
BLL,0.862125888466835,0.13787411153316498
FSRQ,0.3050708770751953,0.6949291229248047
BLL,0.9050935432314873,0.09490645676851273
BLL,0.9896708428859711,0.01032915711402893
FSRQ,0.17439234256744385,0.8256076574325562
FSRQ,0.25634145736694336,0.7436585426330566
BLL,0.5108323395252228,0.4891676604747772
BLL,0.9669472053647041,0.03305279463529587
BLL,0.424291729927063,0.575708270072937
BLL,0.8720639199018478,0.12793608009815216
BLL,0.9925942765548825,0.007405723445117474
BLL,0.7430967092514038,0.2569032907485962
BLL,0.45833706855773926,0.5416629314422607
BLL,0.954711839556694,0.04528816044330597
FSRQ,0.14463955163955688,0.8553604483604431
FSRQ,0.036725759506225586,0.9632742404937744
BLL,0.9640669524669647,0.03593304753303528
BLL,0.987691905349493,0.012308094650506973
BLL,0.9660857059061527,0.033914294093847275
BLL,0.7761681973934174,0.22383180260658264
FSRQ,0.059381306171417236,0.9406186938285828
FSRQ,0.05704009532928467,0.9429599046707153
FSRQ,0.09166204929351807,0.9083379507064819
BLL,0.9354287758469582,0.06457122415304184
FSRQ,0.12185025215148926,0.8781497478485107
BLL,0.9984910298371688,0.0015089701628312469
BLL,0.4038277268409729,0.5961722731590271
BLL,0.9073947891592979,0.09260521084070206
FSRQ,0.14795231819152832,0.8520476818084717
FSRQ,0.06855237483978271,0.9314476251602173
FSRQ,0.02649003267288208,0.9735099673271179
BLL,0.9466777853667736,0.053322214633226395
BLL,0.4670374393463135,0.5329625606536865
BLL,0.9030840694904327,0.09691593050956726
BLL,0.9551811404526234,0.04481885954737663
BLL,0.998520357417874,0.0014796425821259618
BLL,0.9401043839752674,0.05989561602473259
BLL,0.9591552950441837,0.04084470495581627
BLL,0.9063644930720329,0.09363550692796707
FSRQ,0.2565731406211853,0.7434268593788147
FSRQ,0.938659593462944,0.06134040653705597
FSRQ,0.07905107736587524,0.9209489226341248
FSRQ,0.16404348611831665,0.8359565138816833
BLL,0.4120391607284546,0.5879608392715454
BLL,0.9854615312069654,0.014538468793034554
BLL,0.9490825161337852,0.05091748386621475
BLL,0.550746351480484,0.449253648519516
BLL,0.3989562392234802,0.6010437607765198
FSRQ,0.6431629061698914,0.35683709383010864
FSRQ,0.1042281985282898,0.8957718014717102
BLL,0.9188141375780106,0.08118586242198944
BLL,0.9186495319008827,0.08135046809911728
BLL,0.8668414503335953,0.13315854966640472
BLL,0.9441984556615353,0.05580154433846474
FSRQ,0.15502309799194336,0.8449769020080566
BLL,0.9769964590668678,0.02300354093313217
FSRQ,0.22144025564193726,0.7785597443580627
FSRQ,0.21198952198028564,0.7880104780197144
BLL,0.9560499154031277,0.04395008459687233
BLL,0.9974932493641973,0.002506750635802746
FSRQ,0.06622475385665894,0.9337752461433411
FSRQ,0.2617233991622925,0.7382766008377075
BLL,0.9779055248945951,0.022094475105404854
BLL,0.6927638947963715,0.30723610520362854
FSRQ,0.13011103868484497,0.869888961315155
BLL,0.9996743782539852,0.00032562174601480365
BLL,0.9897923907265067,0.01020760927349329
BLL,0.9897108972072601,0.010289102792739868
BLL,0.8909767419099808,0.10902325809001923
FSRQ,0.2513082027435303,0.7486917972564697
BLL,0.9677566476166248,0.03224335238337517
BLL,0.6763764321804047,0.32362356781959534
BLL,0.9922220734879375,0.00777792651206255
BLL,0.16827267408370972,0.8317273259162903
BLL,0.9966532369144261,0.0033467630855739117
BLL,0.9984365329146385,0.0015634670853614807
BLL,0.8654502779245377,0.13454972207546234
BLL,0.997192831709981,0.0028071682900190353
BLL,0.9480941779911518,0.05190582200884819
BLL,0.9706937987357378,0.0293062012642622
BLL,0.38524168729782104,0.614758312702179
FSRQ,0.06784647703170776,0.9321535229682922
BLL,0.9855131302028894,0.014486869797110558
BLL,0.994206978008151,0.005793021991848946
FSRQ,0.8238251358270645,0.17617486417293549
BLL,0.7750333249568939,0.22496667504310608
BLL,0.9916956219822168,0.008304378017783165
BLL,0.9975388573948294,0.0024611426051706076
BLL,0.6910943388938904,0.3089056611061096
BLL,0.8834427297115326,0.11655727028846741
BLL,0.9591445438563824,0.04085545614361763
BLL,0.1354275941848755,0.8645724058151245
BLL,0.9910346753895283,0.008965324610471725
BLL,0.9956070589832962,0.004392941016703844
FSRQ,0.14427876472473145,0.8557212352752686
BLL,0.989677295088768,0.010322704911231995
FSRQ,0.12474101781845093,0.8752589821815491
FSRQ,0.16858410835266113,0.8314158916473389
FSRQ,0.0667119026184082,0.9332880973815918
FSRQ,0.21750569343566895,0.782494306564331
FSRQ,0.18538224697113037,0.8146177530288696
FSRQ,0.25545430183410645,0.7445456981658936
BLL,0.985980418510735,0.014019581489264965
FSRQ,0.29906946420669556,0.7009305357933044
BLL,0.9878950184211135,0.012104981578886509
FSRQ,0.17835545539855957,0.8216445446014404
BLL,0.42868131399154663,0.5713186860084534
BLL,0.333800733089447,0.666199266910553
BLL,0.9980850799474865,0.0019149200525134802
BLL,0.885583408176899,0.11441659182310104
FSRQ,0.025172412395477295,0.9748275876045227
BLL,0.5029877722263336,0.4970122277736664
BLL,0.7002388834953308,0.2997611165046692
BLL,0.9945486858487129,0.005451314151287079
BLL,0.8301027417182922,0.16989725828170776
BLL,0.9591664709150791,0.04083352908492088
FSRQ,0.14424103498458862,0.8557589650154114
FSRQ,0.04745960235595703,0.952540397644043
BLL,0.9111420810222626,0.08885791897773743
BLL,0.8807674646377563,0.11923253536224365
BLL,0.9978175316937268,0.002182468306273222
BLL,0.942202091217041,0.057797908782958984
FSRQ,0.03071647882461548,0.9692835211753845
FSRQ,0.8394519090652466,0.16054809093475342
FSRQ,0.13418596982955933,0.8658140301704407
BLL,0.7636066228151321,0.23639337718486786
BLL,0.9383103512227535,0.061689648777246475
BLL,0.9995869003469124,0.00041309965308755636
FSRQ,0.02547985315322876,0.9745201468467712
BLL,0.9862250685691833,0.01377493143081665
FSRQ,0.09091246128082275,0.9090875387191772
BLL,0.9867229331284761,0.013277066871523857
FSRQ,0.11276954412460327,0.8872304558753967
FSRQ,0.02727830410003662,0.9727216958999634
BLL,0.6078208088874817,0.3921791911125183
BLL,0.9568581581115723,0.043141841888427734
BLL,0.6666145920753479,0.3333854079246521
BLL,0.9603658616542816,0.039634138345718384
BLL,0.9989275858970359,0.0010724141029641032
BLL,0.9061754047870636,0.0938245952129364
BLL,0.8587568551301956,0.14124314486980438
BLL,0.9948993637226522,0.005100636277347803
FSRQ,0.04615217447280884,0.9538478255271912
BLL,0.6997967064380646,0.3002032935619354
BLL,0.9823527187108994,0.017647281289100647
BLL,0.9971105742733926,0.002889425726607442
BLL,0.8574707806110382,0.1425292193889618
BLL,0.8253833949565887,0.17461660504341125
BLL,0.9785646144300699,0.021435385569930077
FSRQ,0.07277071475982666,0.9272292852401733
FSRQ,0.030433237552642822,0.9695667624473572
BLL,0.5738120377063751,0.4261879622936249
BLL,0.5635051727294922,0.4364948272705078
FSRQ,0.20177626609802246,0.7982237339019775
FSRQ,0.8340415507555008,0.1659584492444992
BLL,0.9966094756964594,0.0033905243035405874
FSRQ,0.04457569122314453,0.9554243087768555
FSRQ,0.03190547227859497,0.968094527721405
BLL,0.9781132377684116,0.021886762231588364
BLL,0.9999426619615406,5.7338038459420204e-05
BLL,0.9266972318291664,0.07330276817083359
FSRQ,0.09607565402984619,0.9039243459701538
BLL,0.9885909855365753,0.011409014463424683
FSRQ,0.5646320879459381,0.4353679120540619
BLL,0.9982603144599125,0.001739685540087521
BLL,0.6092821359634399,0.39071786403656006
BLL,0.38462722301483154,0.6153727769851685
FSRQ,0.11951804161071777,0.8804819583892822
BLL,0.47824299335479736,0.5217570066452026
BLL,0.9167331233620644,0.08326687663793564
FSRQ,0.1048324704170227,0.8951675295829773
BLL,0.8177676498889923,0.1822323501110077
FSRQ,0.05240887403488159,0.9475911259651184
FSRQ,0.11657482385635376,0.8834251761436462
FSRQ,0.046656668186187744,0.9533433318138123
BLL,0.9951931633986533,0.004806836601346731
BLL,0.8151168674230576,0.18488313257694244
BLL,0.3401337265968323,0.6598662734031677
BLL,0.9911342654377222,0.008865734562277794
FSRQ,0.11582720279693604,0.884172797203064
BLL,0.9575864039361477,0.04241359606385231
FSRQ,0.10361617803573608,0.8963838219642639
BLL,0.9912046017125249,0.008795398287475109
BLL,0.942680586129427,0.057319413870573044
BLL,0.9980973348719999,0.0019026651280000806
FSRQ,0.2194042205810547,0.7805957794189453
BLL,0.09335839748382568,0.9066416025161743
BLL,0.7275570929050446,0.27244290709495544
FSRQ,0.06629449129104614,0.9337055087089539
