alpha,n_cal,qhat_BLL,qhat_FSRQ
0.01,1604,0.85693150758743286,0.98157221451401722
0.029600000000000001,1604,0.72408980131149292,0.83945190906524658
0.049200000000000001,1604,0.64883393049240112,0.80495473742485046
0.0688,1604,0.58462035655975342,0.74515259265899658
0.088399999999999992,1604,0.51066482067108154,0.64316290616989136
0.10000000000000001,1604,0.48387739062309265,0.54245829582214355
0.108,1604,0.44925364851951599,0.52603214979171753
0.12759999999999999,1604,0.39997819066047668,0.45132279396057129
0.1472,1604,0.35940748453140259,0.401985764503479
0.1668,1604,0.3022264838218689,0.36778664588928223
0.18640000000000001,1604,0.27475795149803162,0.32743191719055176
0.20600000000000002,1604,0.23659138381481171,0.30074650049209595
0.22559999999999999,1604,0.21359065175056458,0.27432143688201904
0.2452,1604,0.18863819539546967,0.25556546449661255
0.26479999999999998,1604,0.16915856301784515,0.24389249086380005
0.28439999999999999,1604,0.15360189974308014,0.22144025564193726
0.30399999999999999,1604,0.13787411153316498,0.20910167694091797
0.3236,1604,0.12467174232006073,0.20153558254241943
0.34320000000000001,1604,0.11011551320552826,0.18593686819076538
0.36280000000000001,1604,0.1005038321018219,0.18050670623779297
0.38240000000000002,1604,0.09316410869359959,0.17439234256744385
0.40200000000000002,1604,0.086161412298679352,0.16946661472320557
0.42159999999999997,1604,0.072878092527389637,0.15945172309875488
0.44119999999999998,1604,0.064307741820812225,0.15274465084075928
0.46079999999999999,1604,0.056901656091213226,0.14463955163955688
0.48039999999999999,1604,0.051549531519412994,0.13922601938247681
0.5,1604,0.047435536980628967,0.13306695222854614
0.51959999999999995,1604,0.042296633124351612,0.12752598524093628
0.53920000000000001,1604,0.038183089345693588,0.12474101781845093
0.55879999999999996,1604,0.034268986433744431,0.11895996332168579
0.57840000000000003,1604,0.030085843056440353,0.11668455600738525
0.59799999999999998,1604,0.026020823046565167,0.11372518539428711
0.61760000000000004,1604,0.0228105317801236,0.1101803183555603
0.63719999999999999,1604,0.019951842725276947,0.10555803775787354
0.65679999999999994,1604,0.017107633873820416,0.1009560227394104
0.6764,1604,0.014538468793034554,0.09527885913848877
0.69599999999999995,1604,0.013019429519772419,0.090457558631896973
0.71560000000000001,1604,0.011729584075510391,0.08751291036605835
0.73519999999999996,1604,0.010638750158250443,0.083458244800567627
0.75480000000000003,1604,0.0088657345622777939,0.079160332679748424
0.77439999999999998,1604,0.0078041530214250088,0.074860692024230957
0.79400000000000004,1604,0.0069055575877428055,0.070958971977233998
0.81359999999999999,1604,0.005807606503367424,0.067228317260742188
0.83319999999999994,1604,0.0050531490705908455,0.061951875686645619
0.8528,1604,0.0041142036207020283,0.056726753711700439
0.87239999999999995,1604,0.0031642788089811802,0.05200570821762085
0.89200000000000002,1604,0.0024611426051706076,0.045510947704315186
0.91159999999999997,1604,0.0019405594794079661,0.0401611328125
0.93120000000000003,1604,0.0012942730681971826,0.034162163734436035
0.95079999999999998,1604,0.00084751687245443463,0.03071647882461559
0.97039999999999993,1604,0.0005794487660751857,0.025562584400177002
0.98999999999999999,1604,0.00014937577361717747,0.018213331699371227
