fold,fit_samples,heldout_samples,fit_bll,fit_fsrq,heldout_bll,heldout_fsrq,best_epoch_by_val_loss,best_val_loss,best_val_accuracy,best_val_auc,best_val_f1_weighted,heldout_accuracy,heldout_auc,heldout_f1_weighted,heldout_csv,best_model_path
1,1283,321,838,445,215,106,989,0.25935256481170654,0.895,0.9527380952380953,0.8957118957471163,0.8940809968847352,0.9548047389205792,0.8950028253478668,greedy_unsupervised_outputs/mccp_heldout_folds/greedy_unsupervised_holdout_fold_01_mccp.csv,greedy_unsupervised_outputs/mccp_fold_models/fold_01/final_best_by_val_loss.pt
2,1283,321,847,436,206,115,1000,0.25427258014678955,0.9,0.9541666666666666,0.9004599599009318,0.8878504672897196,0.963655550865344,0.8892319594393905,greedy_unsupervised_outputs/mccp_heldout_folds/greedy_unsupervised_holdout_fold_02_mccp.csv,greedy_unsupervised_outputs/mccp_fold_models/fold_02/final_best_by_val_loss.pt
3,1283,321,849,434,204,117,1000,0.2539091110229492,0.89,0.954047619047619,0.8894578675321554,0.9127725856697819,0.9623345064521536,0.9133420869699544,greedy_unsupervised_outputs/mccp_heldout_folds/greedy_unsupervised_holdout_fold_03_mccp.csv,greedy_unsupervised_outputs/mccp_fold_models/fold_03/final_best_by_val_loss.pt
4,1283,321,833,450,220,101,1000,0.25821492075920105,0.88,0.9525,0.8794085827623512,0.9127725856697819,0.9545904590459046,0.9132193280162669,greedy_unsupervised_outputs/mccp_heldout_folds/greedy_unsupervised_holdout_fold_04_mccp.csv,greedy_unsupervised_outputs/mccp_fold_models/fold_04/final_best_by_val_loss.pt
5,1284,320,845,439,208,112,1000,0.25696155428886414,0.895,0.9541666666666666,0.8942103832563197,0.9,0.9613238324175825,0.9002009319823863,greedy_unsupervised_outputs/mccp_heldout_folds/greedy_unsupervised_holdout_fold_05_mccp.csv,greedy_unsupervised_outputs/mccp_fold_models/fold_05/final_best_by_val_loss.pt
