epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,valid_auc,valid_f1_weighted
1,0.6838957667350769,0.6654331684112549,0.5681995323460639,0.625,0.6316666666666666,0.6377228292121909
2,0.6795048117637634,0.6611719727516174,0.5900233826968043,0.64,0.6471428571428571,0.6518681318681319
3,0.675147294998169,0.6569468975067139,0.6110678098207326,0.68,0.6634523809523809,0.689126559714795
4,0.6708238124847412,0.6527581810951233,0.627435697583788,0.69,0.6827380952380953,0.6971506105834464
5,0.6665347218513489,0.6486067771911621,0.646921278254092,0.695,0.7008333333333334,0.7015692840318966
6,0.6622806191444397,0.644493043422699,0.6625097427903351,0.705,0.7148809523809523,0.7103921736891787
7,0.6580620408058167,0.6404173970222473,0.6780982073265783,0.72,0.7302380952380952,0.7236009732360098
8,0.6538793444633484,0.6363803744316101,0.6936866718628215,0.725,0.7455952380952381,0.728
9,0.6497329473495483,0.6323824524879456,0.7092751363990647,0.74,0.7620238095238095,0.7411958957424225
10,0.6456232070922852,0.6284237504005432,0.7194076383476228,0.74,0.7752380952380952,0.7411958957424225
11,0.6415505409240723,0.624504804611206,0.7272018706157444,0.745,0.7852380952380952,0.7455967297609527
12,0.6375153660774231,0.6206257343292236,0.7373343725643025,0.78,0.7976190476190477,0.7789157350643106
13,0.6335177421569824,0.6167870163917542,0.7498051441932969,0.785,0.8091666666666667,0.7833831657153212
14,0.6295581459999084,0.6129888296127319,0.7575993764614185,0.805,0.819047619047619,0.8024713958810068
15,0.6256367564201355,0.609231173992157,0.7653936087295401,0.81,0.8294047619047619,0.8080621661000486
16,0.6217536926269531,0.605514407157898,0.7739672642244739,0.81,0.8372619047619048,0.8080621661000486
17,0.6179091930389404,0.6018384695053101,0.7825409197194076,0.81,0.8458333333333333,0.8080621661000486
18,0.6141034364700317,0.5982035994529724,0.7903351519875292,0.825,0.8536904761904762,0.8227307398932112
19,0.6103365421295166,0.5946097373962402,0.7981293842556508,0.845,0.861547619047619,0.8429900839054157
20,0.606608510017395,0.5910570025444031,0.8043647700701481,0.845,0.868452380952381,0.8429900839054157
